school,state,gender,2004,2005,2006,2007,2008,2009,2010
Secondary School,Daman and Diu,Boy,3430,3401,3634,3813,3941,4113,4390
Secondary School,Daman and Diu,Girl,2829,2989,3198,3679,3672,3827,3828
Secondary School,Delhi,Total,668983,691107,756454,774835,839556,906357,1057792
Secondary School,Delhi,Boy,346082,353620,404398,414159,451990,486975,566251
Secondary School,Delhi,Girl,322901,337487,352056,360676,387566,419382,491541
Secondary School,Goa,Total,61866,60472,62541,64712,65100,64464,63516
Secondary School,Goa,Boy,31529,30478,31552,32598,32674,32692,32498
Secondary School,Goa,Girl,30337,29994,30989,32114,32426,31772,31018
Secondary School,Gujarat,Total,1703681,1759927,1851700,1915887,2116008,2173485,2297431
Secondary School,Gujarat,Boy,1012769,1055979,1094320,1127804,1261721,1269177,1334861
Secondary School,Gujarat,Girl,690912,703948,757380,788083,854287,904308,962570
Secondary School,Haryana,Total,883734,872706,968080,1072111,1070939,1303497,1303497
Secondary School,Haryana,Boy,511875,496781,533279,597825,543056,674285,674285
Secondary School,Haryana,Girl,371859,375925,434801,474286,527883,629212,629212
Secondary School,Himachal Pradesh,Total,690449,396337,414477,410591,414283,401049,448717
Secondary School,Himachal Pradesh,Boy,367716,211174,225019,220159,222139,203099,235431
Secondary School,Himachal Pradesh,Girl,322733,185163,189458,190432,192144,197950,213286
Secondary School,Jammu and Kashmir,Total,354881,363433,363433,363433,552412,539267,539267
Secondary School,Jammu and Kashmir,Boy,201480,204414,204414,204414,301567,288580,288580
Secondary School,Jammu and Kashmir,Girl,153401,159019,159019,159019,250845,250687,250687
Secondary School,Jharkhand,Total,380756,414389,412831,514062,514062,603356,858142
Secondary School,Jharkhand,Boy,236978,256395,249724,303464,303464,326321,460453
Secondary School,Jharkhand,Girl,143778,157994,163107,210598,210598,277035,397689
Secondary School,Karnataka,Total,2139240,2098578,2419763,2520436,2521162,2617536,2634996
Secondary School,Karnataka,Boy,1137328,1110421,1279630,1313542,1297447,1342888,1348337
Secondary School,Karnataka,Girl,1001912,988157,1140133,1206894,1223715,1274648,1286659
Secondary School,Kerala,Total,1380950,1138086,1618685,1556582,1641936,1730053,1765407
Secondary School,Kerala,Boy,684173,578047,795149,760296,805087,850499,872754
Secondary School,Kerala,Girl,696777,560039,823536,796286,836849,879554,892653
Secondary School,Lakshadweep,Total,4140,4292,4537,4537,4801,4850,4440
Secondary School,Lakshadweep,Boy,2198,2237,2325,2325,2442,2445,2173
Secondary School,Lakshadweep,Girl,1942,2055,2212,2212,2359,2405,2267
Secondary School,Madhya Pradesh,Total,2022014,2194999,2528649,2881733,3051750,3177685,3515377
Secondary School,Madhya Pradesh,Boy,1292618,1393005,1587768,1795793,1884853,1970759,2162704
Secondary School,Madhya Pradesh,Girl,729396,801994,940881,1085940,1166897,1206926,1352673
Secondary School,Maharashtra,Total,4672032,4766518,4777663,4837584,5137253,5409590,5461387
Secondary School,Maharashtra,Boy,2590608,2496097,2622705,2663061,2829442,2987422,3001877
Secondary School,Maharashtra,Girl,2081424,2270421,2154958,2174523,2307811,2422168,2459510
Secondary School,Manipur,Total,96743,99842,103036,103569,106021,112729,120144
Secondary School,Manipur,Boy,50445,52127,53793,53918,55385,58560,62674
Secondary School,Manipur,Girl,46298,47715,49243,49651,50636,54169,57470
Secondary School,Meghalaya,Total,74199,80707,88558,68726,72692,73390,73680
Secondary School,Meghalaya,Boy,36873,40276,44444,33342,34008,34385,35642
Secondary School,Meghalaya,Girl,37326,40431,44114,35384,38684,39005,38038
Secondary School,Mizoram,Total,37078,35621,39650,40953,42849,47470,49910
Secondary School,Mizoram,Boy,18574,18012,20097,20739,21734,23850,24875
Secondary School,Mizoram,Girl,18504,17609,19553,20214,21115,23620,25035
Secondary School,Nagaland,Total,47671,52975,54635,52634,52634,52634,52634
Secondary School,Nagaland,Boy,25093,27669,28214,27248,27248,27248,27248
Secondary School,Nagaland,Girl,22578,25306,26421,25386,25386,25386,25386
Secondary School,Odisha,Total,1382498,867242,1370919,1252180,1253079,1288192,1361239
Secondary School,Odisha,Boy,838016,478837,760763,686368,688480,695881,731143
Secondary School,Odisha,Girl,544482,388405,610156,565812,564599,592311,630096
Secondary School,Puducherry,Total,60119,62604,64596,66738,67048,68933,71233
Secondary School,Puducherry,Boy,29768,31060,32110,32849,32953,33463,34807
Secondary School,Puducherry,Girl,30351,31544,32486,33889,34095,35470,36426
Secondary School,Punjab,Total,853298,862057,868885,839383,1030554,935886,1094125
Secondary School,Punjab,Boy,458266,468512,486386,454502,557279,504205,592490
Secondary School,Punjab,Girl,395032,393545,382499,384881,473275,431681,501635
Secondary School,Rajasthan,Total,1793025,1924198,2065546,2313069,2501844,2813631,3147406
Secondary School,Rajasthan,Boy,1261080,1318621,1383136,1524283,1628345,1783794,1959695
Secondary School,Rajasthan,Girl,531945,605577,682410,788786,873499,1029837,1187711
Secondary School,Sikkim,Total,17983,18773,18496,18579,19432,21005,21005
Secondary School,Sikkim,Boy,8934,9277,9140,9129,9389,9960,9960
Secondary School,Sikkim,Girl,9049,9496,9356,9450,10043,11045,11045
Secondary School,Tamil Nadu,Total,2952354,3008272,3152698,3318523,2967545,3044632,3058221
Secondary School,Tamil Nadu,Boy,1521320,1523999,1580242,1654972,1479412,1484639,1494299
Secondary School,Tamil Nadu,Girl,1431034,1484273,1572456,1663551,1488133,1559993,1563922
Secondary School,Tripura,Total,118909,122768,127914,139781,140281,147580,158438
